Ronde,Vraag,Wikipedia,Wikimedia Commons,Wikidata,Wikisource,Wikiwoordenboek,Wikinieuws,Wikvoyage
1,Met welk medium heb jij het meeste?,,Plaatjes,Data,Bronteksten,,,
2,Welke afdeling in een boekenwinkel bezoek je het liefst?,,,,,Naslagwerken,Actuele gebeurtenissen,Reisboeken
3,Als jij een oud boek in handen krijgt dan...,Gebruik je het als bron bij een artikel,Fotografeer je alle pagina's,,Tik je alle pagina's over,,,
4,Als jij leest dat een bekend iemand is overleden dan wil je...,Een biografisch artikel schrijven over deze persoon,,Alle feitelijke details (zoals geboortedata) rechtzetten,,,Er een nieuwsbericht over schrijven,
5,Wat is je beste taalvaardigheid?,,,,Oude teksten snappen,Vertalen,Snel gebeurtenissen beschrijven,
6,Wat is je favoriete woord dat eindigt op -ie?,,,Informatiehierarchië,,Etymologie,,Reisinformatie
7,Als je in een vreemde stad bent dan ga jij...,Je verdiepen in de lokale geschiedenis,Foto's maken van bezienswaardigheden,,,,,De beste tips zoeken voor restaurants en hotels
